Frequency (Hz)	Level (dB)
5813.964844	-63.514606
5835.498047	-62.255760
5857.031250	-67.367058
5878.564453	-71.274445
5900.097656	-70.449669
5921.630859	-70.446907
5943.164062	-71.206436
5964.697266	-70.790932
5986.230469	-69.862099
6007.763672	-71.892670
6029.296875	-73.866394
6050.830078	-76.666138
6072.363281	-75.478355
6093.896484	-70.285034
6115.429688	-66.469818
6136.962891	-69.051888
6158.496094	-73.703758
6180.029297	-75.787178
6201.562500	-83.410316
6223.095703	-88.894180
6244.628906	-85.022224
6266.162109	-83.791458
6287.695312	-83.462685
6309.228516	-84.109451
6330.761719	-87.163620
6352.294922	-89.750168
6373.828125	-88.116112
6395.361328	-84.295883
6416.894531	-77.930748
6438.427734	-74.191612
6459.960938	-73.104233
6481.494141	-75.787125
6503.027344	-73.357803
6524.560547	-73.233994
6546.093750	-80.997734
6567.626953	-89.886055
6589.160156	-91.370155
6610.693359	-91.046783
6632.226562	-90.394379
6653.759766	-91.949799
6675.292969	-94.084282
6696.826172	-94.797470
6718.359375	-90.025826
6739.892578	-78.452972
6761.425781	-72.695671
6782.958984	-69.395142
6804.492188	-68.003403
6826.025391	-71.395531
6847.558594	-71.211571
6869.091797	-72.833946
6890.625000	-81.565773
6912.158203	-86.997017
6933.691406	-87.406631
6955.224609	-86.862122
6976.757812	-87.364998
6998.291016	-88.417305
7019.824219	-88.434074
7041.357422	-88.913269
7062.890625	-88.201790
7084.423828	-80.865448
7105.957031	-74.503525
7127.490234	-71.328644
7149.023438	-71.341347
7170.556641	-71.020889
7192.089844	-67.464149
7213.623047	-68.808449
7235.156250	-78.664719
7256.689453	-85.430511
7278.222656	-84.617668
7299.755859	-85.694588
7321.289062	-84.361305
7342.822266	-84.382538
7364.355469	-86.984177
7385.888672	-87.192711
7407.421875	-78.193611
7428.955078	-70.926086
7450.488281	-66.412209
7472.021484	-62.097736
7493.554688	-61.600948
7515.087891	-61.465134
7536.621094	-59.971008
7558.154297	-63.014515
7579.687500	-72.720490
7601.220703	-82.660149
7622.753906	-85.995766
7644.287109	-86.416084
7665.820312	-88.494141
7687.353516	-88.316948
7708.886719	-91.524055
7730.419922	-88.119873
7751.953125	-79.159286
7773.486328	-74.851913
7795.019531	-76.201347
7816.552734	-78.159630
7838.085938	-81.983414
7859.619141	-81.317322
7881.152344	-78.031891
7902.685547	-78.486938
7924.218750	-85.952736
7945.751953	-89.801796
7967.285156	-89.552391
7988.818359	-88.685211
8010.351562	-85.191887
8031.884766	-84.923416
8053.417969	-86.993164
8074.951172	-84.307625
8096.484375	-76.808586
8118.017578	-71.145096
8139.550781	-68.017448
8161.083984	-66.313263
8182.617188	-67.580605
8204.150391	-68.037544
8225.683594	-66.494781
8247.216797	-68.863533
8268.750000	-79.939713
8290.283203	-90.121437
8311.816406	-94.330399
8333.349609	-97.072212
8354.882812	-94.716431
8376.416016	-93.426071
8397.949219	-90.979729
8419.482422	-84.368553
8441.015625	-78.913795
8462.548828	-74.145470
8484.082031	-69.813133
8505.615234	-68.691864
8527.148438	-70.905586
8548.681641	-69.094559
8570.214844	-67.005470
8591.748047	-68.457306
8613.281250	-79.069092
8634.814453	-88.794327
8656.347656	-90.015663
8677.880859	-92.093781
8699.414062	-89.492867
8720.947266	-89.363304
8742.480469	-86.508347
8764.013672	-77.366196
8785.546875	-70.865982
8807.080078	-67.743637
8828.613281	-66.069977
8850.146484	-65.274811
8871.679688	-65.602661
8893.212891	-62.605816
8914.746094	-62.000690
8936.279297	-65.412903
8957.812500	-75.280602
8979.345703	-83.239487
9000.878906	-84.289650
9022.412109	-84.192337
9043.945312	-83.473465
9065.478516	-85.456512
9087.011719	-82.208778
9108.544922	-73.808365
9130.078125	-69.894516
9151.611328	-67.746040
9173.144531	-65.789009
9194.677734	-66.396675
9216.210938	-68.347519
9237.744141	-66.717422
9259.277344	-67.111359
9280.810547	-70.490921
9302.343750	-81.798164
9323.876953	-89.766830
9345.410156	-91.131096
9366.943359	-95.059616
9388.476562	-95.436783
9410.009766	-94.915848
9431.542969	-87.631462
9453.076172	-77.004265
9474.609375	-72.308922
9496.142578	-71.024887
9517.675781	-73.089027
9539.208984	-74.775955
9560.742188	-73.820145
9582.275391	-69.918762
9603.808594	-69.335320
9625.341797	-74.147560
9646.875000	-83.511215
9668.408203	-83.138168
9689.941406	-83.239983
9711.474609	-82.683723
9733.007812	-81.029556
9754.541016	-81.519585
9776.074219	-74.467201
9797.607422	-68.919952
9819.140625	-66.322380
9840.673828	-65.876076
9862.207031	-65.982384
9883.740234	-67.192200
9905.273438	-68.094040
9926.806641	-67.147789
9948.339844	-63.996834
9969.873047	-67.436218
9991.406250	-81.927620
10012.939453	-89.521767
10034.472656	-90.620560
10056.005859	-91.574730
10077.539062	-91.215286
10099.072266	-92.676834
10120.605469	-86.215996
10142.138672	-77.404526
10163.671875	-74.677490
10185.205078	-77.064667
10206.738281	-77.758270
10228.271484	-76.798668
10249.804688	-77.260193
10271.337891	-73.445412
10292.871094	-68.343445
10314.404297	-71.500870
10335.937500	-81.362183
10357.470703	-85.718475
10379.003906	-83.390839
10400.537109	-81.812592
10422.070312	-81.856400
10443.603516	-80.480988
10465.136719	-75.610130
10486.669922	-72.609489
10508.203125	-67.683517
10529.736328	-64.985741
10551.269531	-66.514679
10572.802734	-69.902489
10594.335938	-71.335403
10615.869141	-69.338669
10637.402344	-69.441963
10658.935547	-74.652916
10680.468750	-86.815750
10702.001953	-87.955574
10723.535156	-83.547653
10745.068359	-82.017334
10766.601562	-81.300400
10788.134766	-74.350082
10809.667969	-68.516380
10831.201172	-65.855873
10852.734375	-63.479412
10874.267578	-62.011631
10895.800781	-64.174026
10917.333984	-68.325676
10938.867188	-69.731903
10960.400391	-68.064156
10981.933594	-65.694740
11003.466797	-70.658195
11025.000000	-81.031860
11046.533203	-83.740257
11068.066406	-83.941231
11089.599609	-83.937325
11111.132812	-83.505775
11132.666016	-77.682732
11154.199219	-73.144440
11175.732422	-71.046066
11197.265625	-70.301109
11218.798828	-69.800941
11240.332031	-71.765892
11261.865234	-76.208992
11283.398438	-75.205795
11304.931641	-72.658607
11326.464844	-72.328438
11347.998047	-77.774078
11369.531250	-83.388275
11391.064453	-83.865311
11412.597656	-83.616806
11434.130859	-85.418053
11455.664062	-86.217995
11477.197266	-85.167816
11498.730469	-84.352913
11520.263672	-85.119614
11541.796875	-84.917801
11563.330078	-81.299644
11584.863281	-78.646645
11606.396484	-76.449341
11627.929688	-73.619728
11649.462891	-72.687950
11670.996094	-72.860626
11692.529297	-77.976631
11714.062500	-84.809631
11735.595703	-83.819618
11757.128906	-82.859024
11778.662109	-81.782616
11800.195312	-79.022713
11821.728516	-75.952118
11843.261719	-74.192322
11864.794922	-71.028519
11886.328125	-69.088882
11907.861328	-69.940277
11929.394531	-72.647705
11950.927734	-74.226288
11972.460938	-71.789047
11993.994141	-71.404274
12015.527344	-70.883400
12037.060547	-77.612717
12058.593750	-84.969528
12080.126953	-88.421356
12101.660156	-89.294044
12123.193359	-85.313538
12144.726562	-80.174690
12166.259766	-77.057808
12187.792969	-73.648376
12209.326172	-72.392426
12230.859375	-71.397255
12252.392578	-71.001869
12273.925781	-72.536934
12295.458984	-74.166443
12316.992188	-72.008949
12338.525391	-69.471146
12360.058594	-69.213158
12381.591797	-75.774666
12403.125000	-80.192673
12424.658203	-82.156258
12446.191406	-83.596649
12467.724609	-80.773582
12489.257812	-76.962997
12510.791016	-74.408577
12532.324219	-72.163925
12553.857422	-72.579216
12575.390625	-71.094688
12596.923828	-71.433830
12618.457031	-72.391411
12639.990234	-72.405067
12661.523438	-69.955780
12683.056641	-68.640663
12704.589844	-68.658195
12726.123047	-76.402557
12747.656250	-85.507492
12769.189453	-87.556374
12790.722656	-86.364967
12812.255859	-82.788475
12833.789062	-79.696007
12855.322266	-77.894760
12876.855469	-74.816711
12898.388672	-71.724831
12919.921875	-69.787689
12941.455078	-70.703308
12962.988281	-72.635452
12984.521484	-73.670563
13006.054688	-70.857231
13027.587891	-69.059738
13049.121094	-69.858917
13070.654297	-78.803192
13092.187500	-85.783363
13113.720703	-88.791962
13135.253906	-86.834602
13156.787109	-82.963448
13178.320312	-81.666901
13199.853516	-79.983727
13221.386719	-77.570282
13242.919922	-77.269470
13264.453125	-76.128578
13285.986328	-78.158073
13307.519531	-81.912529
13329.052734	-86.458977
13350.585938	-85.749001
13372.119141	-84.976265
13393.652344	-86.774666
13415.185547	-91.410240
13436.718750	-92.173607
13458.251953	-93.775482
13479.785156	-90.193832
13501.318359	-83.664749
13522.851562	-82.905914
13544.384766	-76.696358
13565.917969	-71.539879
13587.451172	-70.024529
13608.984375	-71.238617
13630.517578	-71.972046
13652.050781	-73.305168
13673.583984	-71.924408
13695.117188	-70.577431
13716.650391	-71.011787
13738.183594	-73.499886
13759.716797	-79.072212
13781.250000	-82.057953
13802.783203	-83.454407
13824.316406	-81.478378
13845.849609	-80.053177
13867.382812	-80.216484
13888.916016	-79.931358
13910.449219	-78.908600
13931.982422	-78.652550
13953.515625	-79.461174
13975.048828	-80.867065
13996.582031	-84.268753
14018.115234	-81.119049
14039.648438	-80.047653
14061.181641	-79.435692
14082.714844	-82.321022
14104.248047	-90.263657
14125.781250	-91.386024
14147.314453	-90.855583
14168.847656	-87.148842
14190.380859	-84.852570
14211.914062	-80.282181
14233.447266	-80.471588
14254.980469	-81.033546
14276.513672	-81.156075
14298.046875	-82.403427
14319.580078	-82.777527
14341.113281	-83.516090
14362.646484	-78.859505
14384.179688	-77.793709
14405.712891	-78.893150
14427.246094	-82.123779
14448.779297	-87.961899
14470.312500	-90.546730
14491.845703	-92.642975
14513.378906	-92.720390
14534.912109	-91.454460
14556.445312	-92.763405
14577.978516	-92.815536
14599.511719	-89.863792
14621.044922	-90.620338
14642.578125	-92.002174
14664.111328	-92.715858
14685.644531	-91.342438
14707.177734	-87.155701
14728.710938	-87.167229
14750.244141	-86.175606
14771.777344	-87.803146
14793.310547	-91.487236
14814.843750	-93.536102
