Frequency (Hz)	Level (dB)
5813.964844	-70.768547
5835.498047	-75.051094
5857.031250	-80.035110
5878.564453	-83.370369
5900.097656	-81.984581
5921.630859	-79.251740
5943.164062	-77.717392
5964.697266	-77.050919
5986.230469	-76.879982
6007.763672	-78.484688
6029.296875	-79.392715
6050.830078	-67.849899
6072.363281	-64.979492
6093.896484	-66.864799
6115.429688	-65.546761
6136.962891	-64.691002
6158.496094	-65.448418
6180.029297	-65.947601
6201.562500	-69.457512
6223.095703	-68.674202
6244.628906	-68.530762
6266.162109	-74.484978
6287.695312	-77.942909
6309.228516	-80.786598
6330.761719	-82.687149
6352.294922	-81.123978
6373.828125	-78.776405
6395.361328	-74.587456
6416.894531	-74.883820
6438.427734	-70.742271
6459.960938	-64.036110
6481.494141	-61.271214
6503.027344	-65.386314
6524.560547	-71.005432
6546.093750	-70.266106
6567.626953	-70.149971
6589.160156	-68.503059
6610.693359	-73.328926
6632.226562	-77.024681
6653.759766	-75.149765
6675.292969	-77.067329
6696.826172	-81.030090
6718.359375	-79.637810
6739.892578	-76.080643
6761.425781	-79.108246
6782.958984	-80.062508
6804.492188	-79.085007
6826.025391	-79.592598
6847.558594	-78.643150
6869.091797	-80.142097
6890.625000	-87.437958
6912.158203	-84.786438
6933.691406	-82.723267
6955.224609	-78.878860
6976.757812	-74.177002
6998.291016	-71.529037
7019.824219	-73.042351
7041.357422	-73.083565
7062.890625	-67.372787
7084.423828	-66.212715
7105.957031	-65.400879
7127.490234	-61.499676
7149.023438	-62.719944
7170.556641	-64.354294
7192.089844	-69.467613
7213.623047	-73.562439
7235.156250	-76.751801
7256.689453	-76.977501
7278.222656	-75.808510
7299.755859	-81.602470
7321.289062	-88.753250
7342.822266	-89.614128
7364.355469	-90.925644
7385.888672	-91.223709
7407.421875	-88.893028
7428.955078	-88.494888
7450.488281	-79.273903
7472.021484	-75.214386
7493.554688	-71.939667
7515.087891	-71.386513
7536.621094	-76.612762
7558.154297	-78.875748
7579.687500	-76.013985
7601.220703	-76.457863
7622.753906	-76.587158
7644.287109	-81.713226
7665.820312	-87.414764
7687.353516	-87.327919
7708.886719	-92.170776
7730.419922	-92.896149
7751.953125	-91.234566
7773.486328	-91.592102
7795.019531	-89.147171
7816.552734	-87.178978
7838.085938	-84.236046
7859.619141	-84.356178
7881.152344	-85.413872
7902.685547	-86.408089
7924.218750	-82.488464
7945.751953	-81.851936
7967.285156	-81.865089
7988.818359	-85.846725
8010.351562	-91.948090
8031.884766	-94.446686
8053.417969	-92.440353
